index,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,cluster,distance
15870,0.9540000000000001,['Thunderbound Productions'],0.0,285343,0.9990000000000001,0,0cTmHyEAcGnkIv3yC0sVwL,0.526,11,0.97,-17.47,1,Timeless Rain,63,4/12/2017,0.0,0.0,0.0,2017,0,67.69329634569458
16084,1.3800000000000002e-05,['Natural Woodland Sounds'],0.0,126167,2.0300000000000002e-05,0,4ilfxYggG4GpbZcpC9qzH5,0.991,0,0.767,-17.687,1,Meditation Rain,67,10/10/2019,0.0,0.0,0.0,2019,0,67.71347990215263
77648,0.00584,['Fan Sounds'],0.0,190044,2.02e-05,0,7CCX1tNZIqQcU5BWv6KAKx,0.873,3,0.11599999999999999,-18.090999999999998,1,Oscillating Fan Rest Sound,56,11/11/2016,0.0,0.0,0.0,2016,0,67.73906748929478
16054,0.000904,['Sounds of Nature Noise'],0.0,179187,0.000139,0,62kBhPaUyrsGzmsaZJ35xh,0.8340000000000001,1,0.539,-18.249000000000002,1,Soft Thunder,67,10/3/2019,0.0,0.0,0.0,2019,0,67.75286746183193
55438,0.495,"['Brown Noise Baby', 'Brown Noise', 'White Noise', 'Pink Noise']",0.0,75000,0.00243,0,6XfaE8sWBIuUqnWcAKc56G,0.261,7,0.12,-18.795,1,"Fan Noises for Sleeping (Looped, Loopable Fast Sleep)",59,4/23/2018,0.0,0.0,0.0,2018,0,67.7892550643605
39807,0.127,"['Rain Sounds', 'Rain Sounds & White Noise', 'Relaxing Rain Sounds', 'Meditation Rain Sounds', 'Sleep Sound Library', 'Sleep Sounds of Nature']",0.0,93452,6.19e-05,0,6HMSnRW8Htfd3YxdNgUF73,0.9990000000000001,9,0.718,-18.685,1,Pouring Rain,56,3/1/2016,0.0,0.0,0.0,2016,0,67.79206150511473
63131,0.914,['Fizzonaut'],0.0,149538,9.9e-05,0,595CZH0N7pnCKjF4lmcilR,0.9520000000000001,5,0.10800000000000001,-19.059,0,Heedful Pink Noise,65,11/29/2019,0.0,0.0,0.0,2019,0,67.81892397929818
32001,0.982,['Granular'],0.0,235135,0.0109,0,2GBvksBLD4dLqjKbqp4uor,0.17600000000000002,5,0.127,-20.829,1,Clover,65,7/6/2018,0.0,0.0,0.0,2018,0,68.00056081427583
15787,0.956,['White Noise Spa'],0.0,300300,2.0300000000000002e-05,0,5wf3wwLBJj4j46xtJETZ8L,0.23800000000000002,10,0.131,-20.961,0,Soothing Deep Pink Noise,58,10/11/2016,0.0,0.0,0.0,2016,0,68.01658226316755
169770,0.9570000000000001,['Granular'],0.0,146061,0.14800000000000002,0,4rkUd5Juj2icJoNTLq0jmP,0.168,5,0.11199999999999999,-22.011999999999997,1,Brown Noise 750 LPF,69,1/11/2019,0.0,0.0,0.0,2019,0,68.15099990114616
